"a_fecha","playerRanking","code","name","age","imageUrl","team_code","team_tvCodes","team_name","team_imageUrl","gamesPlayed","gamesStarted","minutesPlayed","pointsScored","twoPointersMade","twoPointersAttempted","twoPointersPercentage","threePointersMade","threePointersAttempted","threePointersPercentage","freeThrowsMade","freeThrowsAttempted","freeThrowsPercentage","offensiveRebounds","defensiveRebounds","totalRebounds","assists","steals","turnovers","blocks","blocksAgainst","foulsCommited","foulsDrawn","pir"
"28-01-2026 04:48:42",1,"013260","JONES, DEVANTE",27,"https://media-cdn.cortextech.io/73a6da90-93bb-438e-b0e8-6db8cfa650c9.png","TRN","TRE","Dolomiti Energia Trento","https://media-cdn.incrowdsports.com/00c5cc07-732c-43c3-9d6e-5440594a25f8.png",15,14,27.6488888888889,17.9,4.4,7.4,"59.5%",1.2,3.4,"35.3%",5.5,6.2,"89.2%",0.7,3,3.7,4.5,1,1.5,0,0.3,2.7,6.4,23.1
"28-01-2026 04:48:42",2,"004554","ZIZIC, ANTE",28,"https://media-cdn.cortextech.io/a78d6cc1-d87a-43f6-a5d8-2dac9c1a9444.png","BES","BJK","Besiktas Istanbul","https://media-cdn.cortextech.io/7d37b2d0-2a4a-4a86-bf2c-266bd8da7cac.png",15,15,23.45,13.2,4.8,6.9,"69.9%",0,0,"0%",3.6,4.7,"76.1%",2.7,4.8,7.5,1.2,0.5,1.4,0.7,0.1,1.5,5.7,22.5
"28-01-2026 04:48:42",3,"011970","HARPER, JARED",28,"https://media-cdn.cortextech.io/9556b515-a1de-44cb-8995-98a907f07051.png","JER","JLM","Hapoel Jerusalem Basketball Club","https://media-cdn.incrowdsports.com/8058e0c5-3042-45e1-9423-f93f33c54576.png",15,15,27.5188888888889,17.9,2.7,5.9,"45.5%",1.8,4.5,"39.7%",7.1,8.3,"85.6%",0.2,2.3,2.5,5.3,1.3,2.1,0.1,0.5,1.3,6.1,21.9
"28-01-2026 04:48:42",4,"013943","RUSSELL, DARON",27,"https://media-cdn.cortextech.io/16c13feb-6041-4ba1-8d77-bd4b2467ab9d.png","CLU","UBT","U-BT Cluj-Napoca","https://media-cdn.incrowdsports.com/ae3e2844-0615-41bb-a788-a4f0d54b8d5e.png",14,11,27.5380952380952,20.7,3.9,7.6,"50.5%",2.6,7.6,"33.6%",5.3,7,"75.5%",0.6,3.1,3.7,6.5,1.2,2.7,0.1,0.9,2.6,6.2,21.6
"28-01-2026 04:48:42",5,"013927","CREEK, MITCHELL",33,"https://media-cdn.cortextech.io/1ad95f51-74e6-49cc-a323-1bb3ff3e002d.png","CLU","UBT","U-BT Cluj-Napoca","https://media-cdn.incrowdsports.com/ae3e2844-0615-41bb-a788-a4f0d54b8d5e.png",14,14,29.8595238095238,18.4,5.6,8,"70.5%",1.1,2.5,"45.7%",3.6,4.8,"76.1%",1.6,2.3,3.9,1.9,0.6,1.9,0.2,0.1,2.4,5.1,20.9
"28-01-2026 04:48:42",6,"013368","YEBO, KEVIN",29,"https://media-cdn.cortextech.io/ee769dbe-dd9f-46e3-a2e1-11d2c6e4d339.png","NIN","NIN","NINERS Chemnitz","https://media-cdn.cortextech.io/75ae96be-69f9-4e48-b5bd-b1056842db57.png",15,9,28.2177777777778,18.1,4.2,7.3,"57.8%",1.5,4.9,"29.7%",5.3,7.1,"74.5%",1.5,5.3,6.8,2.4,0.6,3,0.1,0.7,3.5,7.5,20
"28-01-2026 04:48:42",7,"009896","MILETIC, DUSAN",27,"https://media-cdn.cortextech.io/6e7b25a3-f096-4e25-8f5b-48f00b42c9f4.png","CLU","UBT","U-BT Cluj-Napoca","https://media-cdn.incrowdsports.com/ae3e2844-0615-41bb-a788-a4f0d54b8d5e.png",15,11,21.9166666666667,12.9,4.9,7.3,"67.9%",0.3,0.7,"36.4%",2.3,3.3,"69.4%",2.2,5.9,8.1,2.5,1.2,1.7,1.1,0.6,2.9,3.1,19.9
"28-01-2026 04:48:42",8,"006326","VELICKA, ARNAS",26,"https://media-cdn.cortextech.io/fdf1b354-6612-46b9-95dc-6a95843e0df0.png","KLA","NEP","Neptunas Klaipeda","https://media-cdn.cortextech.io/ed0df5cd-c9e4-4387-bcd4-3606270cd255.png",14,14,30.4797619047619,14.5,2.4,4.6,"53.1%",1.9,6,"31%",4.1,5.9,"68.7%",0.9,2.7,3.6,7.4,1.9,3.6,0.1,0.4,1.8,5.7,19.2
"28-01-2026 04:48:42",9,"011579","PERRIN, ZACHARIE",21,"https://media-cdn.cortextech.io/9e1255f8-4b04-49c1-8565-e1bd65d3416b.png","HAM","HAM","Hamburg Towers","https://media-cdn.incrowdsports.com/5ef8be01-ad71-42c2-aa02-d5c7a9495258.png",15,13,24.2666666666667,13.5,5.3,8.3,"63.2%",0.1,0.1,"100%",2.7,4.9,"55.4%",2.9,5.6,8.5,1.1,0.4,1.5,0.5,0.2,2.1,4,18.7
"28-01-2026 04:48:42",10,"012621","JONES, BRYCE",31,"https://media-cdn.cortextech.io/0d8cb74c-328b-48d7-8801-f5691c4b40a9.png","ARI","ARI","Aris Thessaloniki","https://media-cdn.cortextech.io/28be84d9-ad7e-43b3-8d8c-822bb76b8a9e.png",15,13,24.8044444444444,17.4,4.5,9.3,"47.9%",0.7,2.2,"30.3%",6.5,7.1,"90.7%",0.7,2.5,3.2,4.9,1.1,3,0.2,0.7,3.5,6,18.5
"28-01-2026 04:48:42",11,"003703","NIKOLIC, ALEKSEJ",30,"https://media-cdn.cortextech.io/f5a6caf4-351c-42e7-8cdd-d87f436778db.png","LJU","COL","KK Cedevita Olimpija","https://media-cdn.incrowdsports.com/73b33d13-570e-4e49-a9cb-fe806831eaa7.png",15,2,24.0966666666667,16.8,2.1,4.5,"47.1%",2.2,6.1,"35.9%",5.9,6.4,"92.7%",0.5,1.6,2.1,3.5,0.8,1.5,0,0.2,2,5.7,18.3
"28-01-2026 04:48:42",12,"013908","FLYNN, MALACHI",27,"https://media-cdn.cortextech.io/060edd55-3e00-452a-b13e-ac2d0c506807.png","BAH","BKS","Bahcesehir Koleji Istanbul","https://media-cdn.incrowdsports.com/1d3274d8-da86-4d21-9e97-6810ab88babe.png",15,15,30.0911111111111,17.7,3.9,6.9,"56.3%",2.3,6.8,"34.3%",3,3.7,"80.4%",0.9,2.8,3.7,3.7,1.7,2.6,0.2,0.2,2,3.9,17.9
"28-01-2026 04:48:42",13,"013278","WILEY, AUSTIN",26,"https://media-cdn.cortextech.io/aeb8cb54-ca92-4b6b-b827-9c217bf9bb47.png","JER","JLM","Hapoel Jerusalem Basketball Club","https://media-cdn.incrowdsports.com/8058e0c5-3042-45e1-9423-f93f33c54576.png",13,12,18.7628205128205,10.1,3.8,5.2,"73.5%",0,0.1,"0%",2.4,3.2,"73.8%",3.1,5.9,9,0.2,0.4,1.1,1.5,0.1,2.6,2.7,17.8
"28-01-2026 04:48:42",14,"013855","GIBSON, UMOJA",27,"https://media-cdn.cortextech.io/be7ac987-733b-4c31-b7d0-a679cc9bf90e.png","LJU","COL","KK Cedevita Olimpija","https://media-cdn.incrowdsports.com/73b33d13-570e-4e49-a9cb-fe806831eaa7.png",15,13,25.0455555555556,16.1,2.9,5.9,"48.3%",1.9,4.9,"38.4%",4.8,5.5,"87.8%",0.6,1.6,2.2,4.7,1.5,2.7,0.1,0.5,2.5,5.3,17.5
